10001,2023-01-20,101,Ordinateur portable,Électronique,1,850,850,Payé
10002,2023-01-25,104,Tableau blanc,Mobilier,3,120,360,Payé
10003,2023-02-05,102,Serveur,Électronique,1,3200,3200,Payé
10004,2023-02-10,106,Licence logiciel,Logiciel,10,150,1500,Payé
10005,2023-02-15,103,Souris,Électronique,2,25,50,Payé
10006,2023-02-20,108,Écran 24 pouces,Électronique,5,180,900,Payé
10007,2023-03-01,105,Clavier,Électronique,1,45,45,Payé
10008,2023-03-10,109,Tableau de bord sur mesure,Service,1,2500,2500,Payé
10009,2023-03-15,107,Casque audio,Électronique,2,65,130,Payé
10010,2023-03-25,111,Ordinateur portable,Électronique,8,850,6800,Payé
10011,2023-04-02,102,Licence logiciel,Logiciel,5,150,750,Payé
10012,2023-04-10,112,Tableau blanc,Mobilier,10,120,1200,Payé
10013,2023-04-18,110,Souris,Électronique,3,25,75,Payé
10014,2023-04-25,114,Écran 27 pouces,Électronique,4,250,1000,Payé
10015,2023-05-05,113,Café,Fourniture,20,8,160,Payé
10016,2023-05-12,115,Formation Excel,Service,1,1200,1200,Payé
10017,2023-05-20,101,Clavier,Électronique,1,45,45,Payé
10018,2023-05-28,106,Ordinateur portable,Électronique,3,850,2550,Payé
10019,2023-06-05,103,Souris,Électronique,1,25,25,Annulé
10020,2023-06-12,108,Tableau blanc,Mobilier,2,120,240,Payé
10021,2023-06-20,104,Licence logiciel,Logiciel,3,150,450,En attente
10022,2023-06-28,111,Serveur,Électronique,2,3200,6400,Payé
10023,2023-07-05,107,Casque audio,Électronique,1,65,65,Payé
10024,2023-07-15,112,Ordinateur portable,Électronique,5,850,4250,Payé
10025,2023-07-22,105,Écran 24 pouces,Électronique,2,180,360,Payé
10026,2023-08-01,109,Papeterie,Fourniture,50,2,100,Payé
10027,2023-08-10,102,Tableau de bord sur mesure,Service,1,2500,2500,Payé
10028,2023-08-20,114,Souris,Électronique,10,25,250,Payé
10029,2023-08-28,113,Licence logiciel,Logiciel,2,150,300,Payé
10030,2023-09-05,115,Ordinateur portable,Électronique,4,850,3400,Payé
10031,2023-09-12,101,Café,Fourniture,10,8,80,Payé
10032,2023-09-20,106,Écran 27 pouces,Électronique,3,250,750,Payé
10033,2023-09-28,103,Clavier,Électronique,1,45,45,Annulé
10034,2023-10-05,108,Tableau blanc,Mobilier,1,120,120,Payé
10035,2023-10-15,110,Formation Power BI,Service,1,1000,1000,Payé
10036,2023-10-22,111,Souris,Électronique,15,25,375,Payé
10037,2023-11-01,104,Ordinateur portable,Électronique,2,850,1700,Payé
10038,2023-11-10,112,Licence logiciel,Logiciel,8,150,1200,Payé
10039,2023-11-18,107,Casque audio,Électronique,3,65,195,Payé
10040,2023-11-25,102,Serveur,Électronique,1,3200,3200,Payé
10041,2023-12-02,109,Papeterie,Fourniture,30,2,60,Payé
10042,2023-12-10,113,Écran 24 pouces,Électronique,2,180,360,En attente
10043,2023-12-18,105,Tableau de bord sur mesure,Service,1,2500,2500,Payé
10044,2023-12-22,114,Clavier,Électronique,5,45,225,Payé
10045,2023-12-28,115,Café,Fourniture,25,8,200,Payé
10046,2024-01-10,101,Souris,Électronique,2,25,50,Payé
10047,2024-01-18,106,Ordinateur portable,Électronique,4,850,3400,Payé
10048,2024-01-25,103,Licence logiciel,Logiciel,1,150,150,Payé
10049,2024-02-05,111,Écran 27 pouces,Électronique,6,250,1500,Payé
10050,2024-02-12,108,Tableau blanc,Mobilier,4,120,480,Payé
10051,2024-02-20,104,Serveur,Électronique,1,3200,3200,Payé
10052,2024-02-28,112,Formation Python,Service,1,1500,1500,Payé
10053,2024-03-05,102,Ordinateur portable,Électronique,3,850,2550,Payé
10054,2024-03-12,107,Clavier,Électronique,2,45,90,Payé
10055,2024-03-20,109,Café,Fourniture,40,8,320,Payé
